cleaned_comment,slang_replaced_comment,tekonized_comment,no_stopwords_comment,stemmed_comment
kalo gada dana deposit dari gubernur atau kepala daerah gue yakin gakan ada yang mangkrak itu pembangunan didaerah nya masing masing jd bukan kejar target abisin angaran akhir tahun,kalau tidak ada dana deposit dari gubernur atau kepala daerah aku yakin gakan ada yang mangkrak itu pembangunan didaerah nya masing masing jd bukan kejar target abisin angaran akhir tahun,"['kalau', 'tidak', 'ada', 'dana', 'deposit', 'dari', 'gubernur', 'atau', 'kepala', 'daerah', 'aku', 'yakin', 'gakan', 'ada', 'yang', 'mangkrak', 'itu', 'pembangunan', 'didaerah', 'nya', 'masing', 'masing', 'jd', 'bukan', 'kejar', 'target', 'abisin', 'angaran', 'akhir', 'tahun']","['kalau', 'tidak', 'dana', 'deposit', 'gubernur', 'kepala', 'daerah', 'aku', 'yakin', 'gakan', 'mangkrak', 'pembangunan', 'didaerah', 'nya', 'masing', 'masing', 'jd', 'bukan', 'kejar', 'target', 'abisin', 'angaran', 'akhir', 'tahun']","['kalau', 'tidak', 'dana', 'deposit', 'gubernur', 'kepala', 'daerah', 'aku', 'yakin', 'gakan', 'mangkrak', 'bangun', 'daerah', 'nya', 'masing', 'masing', 'jd', 'bukan', 'kejar', 'target', 'abisin', 'angaran', 'akhir', 'tahun']"
daerah gue langsung banyak proyek jalan,daerah aku langsung banyak proyek jalan,"['daerah', 'aku', 'langsung', 'banyak', 'proyek', 'jalan']","['daerah', 'aku', 'langsung', 'banyak', 'proyek', 'jalan']","['daerah', 'aku', 'langsung', 'banyak', 'proyek', 'jalan']"
uang nya stuck di pemerintahan,uang nya stuck di pemerintahan,"['uang', 'nya', 'stuck', 'di', 'pemerintahan']","['uang', 'nya', 'stuck', 'pemerintahan']","['uang', 'nya', 'stuck', 'perintah']"
tag pak dedi mulyadi soalnya doi yang paling tersingung soal ini nih ,tag bapak dedi mulyadi soalnya dia yang paling tersingung soal ini ini,"['tag', 'bapak', 'dedi', 'mulyadi', 'soalnya', 'dia', 'yang', 'paling', 'tersingung', 'soal', 'ini', 'ini']","['tag', 'bapak', 'dedi', 'mulyadi', 'soalnya', 'paling', 'tersingung', 'soal']","['tag', 'bapak', 'dedi', 'mulyadi', 'soal', 'paling', 'tersingung', 'soal']"
silahkan kalo protes kan rata laporan keuangan pemda banyak nota manipulasi sedangkan pak pur mantau secara real time isi saldonya bukan notanya ,silahkan kalau protes kan rata laporan keuangan pemda banyak nota manipulasi sedangkan bapak pur pantau secara nyata waktu isi saldonya bukan notanya,"['silahkan', 'kalau', 'protes', 'kan', 'rata', 'laporan', 'keuangan', 'pemda', 'banyak', 'nota', 'manipulasi', 'sedangkan', 'bapak', 'pur', 'pantau', 'secara', 'nyata', 'waktu', 'isi', 'saldonya', 'bukan', 'notanya']","['silahkan', 'kalau', 'protes', 'kan', 'rata', 'laporan', 'keuangan', 'pemda', 'banyak', 'nota', 'manipulasi', 'bapak', 'pur', 'pantau', 'nyata', 'waktu', 'isi', 'saldonya', 'bukan', 'notanya']","['silah', 'kalau', 'protes', 'kan', 'rata', 'lapor', 'uang', 'pemda', 'banyak', 'nota', 'manipulasi', 'bapak', 'pur', 'pantau', 'nyata', 'waktu', 'isi', 'saldo', 'bukan', 'nota']"
yg tersingung pejabat yg suka nahan angaran di bank ngarep bunganya bisa dipakai karena tdk dihitung angaran di setiap pemdamakanya banyak proyek yg dikerjakan dan ngebut di akhir tahun sentil terus itu yg masih nyimpen angaran di bank gas pak menkeu ,yang tersingung pejabat yang suka nahan angaran di bank ngarep bunganya bisa dipakai karena tidak dihitung angaran di setiap pemdamakanya banyak proyek yang dikerjakan dan ngebut di akhir tahun sentil terus itu yang masih nyimpen angaran di bank gas bapak menkeu,"['yang', 'tersingung', 'pejabat', 'yang', 'suka', 'nahan', 'angaran', 'di', 'bank', 'ngarep', 'bunganya', 'bisa', 'dipakai', 'karena', 'tidak', 'dihitung', 'angaran', 'di', 'setiap', 'pemdamakanya', 'banyak', 'proyek', 'yang', 'dikerjakan', 'dan', 'ngebut', 'di', 'akhir', 'tahun', 'sentil', 'terus', 'itu', 'yang', 'masih', 'nyimpen', 'angaran', 'di', 'bank', 'gas', 'bapak', 'menkeu']","['tersingung', 'pejabat', 'suka', 'nahan', 'angaran', 'bank', 'ngarep', 'bunganya', 'dipakai', 'tidak', 'dihitung', 'angaran', 'pemdamakanya', 'banyak', 'proyek', 'dikerjakan', 'ngebut', 'akhir', 'tahun', 'sentil', 'terus', 'nyimpen', 'angaran', 'bank', 'gas', 'bapak', 'menkeu']","['tersingung', 'jabat', 'suka', 'nahan', 'angaran', 'bank', 'ngarep', 'bunga', 'pakai', 'tidak', 'hitung', 'angaran', 'pemdamakanya', 'banyak', 'proyek', 'kerja', 'ngebut', 'akhir', 'tahun', 'sentil', 'terus', 'nyimpen', 'angaran', 'bank', 'gas', 'bapak', 'menkeu']"
nabung anak kecil juga bisa ,nabung anak kecil juga bisa,"['nabung', 'anak', 'kecil', 'juga', 'bisa']","['nabung', 'anak', 'kecil']","['nabung', 'anak', 'kecil']"
makanya ekonomi kok gak gerak duitnya dipendam tok,makanya ekonomi kok tidak gerak duitnya dipendam tok,"['makanya', 'ekonomi', 'kok', 'tidak', 'gerak', 'duitnya', 'dipendam', 'tok']","['makanya', 'ekonomi', 'kok', 'tidak', 'gerak', 'duitnya', 'dipendam', 'tok']","['makanya', 'ekonomi', 'kok', 'tidak', 'gerak', 'duit', 'pendam', 'tok']"
mana yang ga suka sama pak pur mana biar kita gerebeg ignya,mana yang tidak suka sama bapak pur mana biar kita gerebeg ignya,"['mana', 'yang', 'tidak', 'suka', 'sama', 'bapak', 'pur', 'mana', 'biar', 'kita', 'gerebeg', 'ignya']","['mana', 'tidak', 'suka', 'sama', 'bapak', 'pur', 'mana', 'biar', 'gerebeg', 'ignya']","['mana', 'tidak', 'suka', 'sama', 'bapak', 'pur', 'mana', 'biar', 'gerebeg', 'ignya']"
in pak purbaya we trust,di bapak purbaya kita trust,"['di', 'bapak', 'purbaya', 'kita', 'trust']","['bapak', 'purbaya', 'trust']","['bapak', 'purbaya', 'trust']"
kerja ngabisin duit aj gk bsha,kerja ngabisin uang saja tidak bsha,"['kerja', 'ngabisin', 'uang', 'saja', 'tidak', 'bsha']","['kerja', 'ngabisin', 'uang', 'tidak', 'bsha']","['kerja', 'ngabisin', 'uang', 'tidak', 'bsha']"
bapak aing purbaya for vice president,bapak aku purbaya untuk vice president,"['bapak', 'aku', 'purbaya', 'untuk', 'vice', 'president']","['bapak', 'aku', 'purbaya', 'vice', 'president']","['bapak', 'aku', 'purbaya', 'vice', 'president']"
dikasih nasehat sama menkeu eh malah egonya tersingung bapa saha eta,dikasih nasehat sama menkeu eh malah egonya tersingung bapak saha eta,"['dikasih', 'nasehat', 'sama', 'menkeu', 'eh', 'malah', 'egonya', 'tersingung', 'bapak', 'saha', 'eta']","['dikasih', 'nasehat', 'sama', 'menkeu', 'eh', 'malah', 'egonya', 'tersingung', 'bapak', 'saha', 'eta']","['kasih', 'nasehat', 'sama', 'menkeu', 'eh', 'malah', 'ego', 'tersingung', 'bapak', 'saha', 'eta']"
nonjok minta maf uper cut,nonjok minta maf uper cut,"['nonjok', 'minta', 'maf', 'uper', 'cut']","['nonjok', 'minta', 'maf', 'uper', 'cut']","['nonjok', 'minta', 'maf', 'uper', 'cut']"
tgu dulu pak akhir tahun depositonya mau cair ini bunganya ups ,tgu dulu bapak akhir tahun depositonya mau cair ini bunganya ups,"['tgu', 'dulu', 'bapak', 'akhir', 'tahun', 'depositonya', 'mau', 'cair', 'ini', 'bunganya', 'ups']","['tgu', 'dulu', 'bapak', 'akhir', 'tahun', 'depositonya', 'mau', 'cair', 'bunganya', 'ups']","['tgu', 'dulu', 'bapak', 'akhir', 'tahun', 'deposito', 'mau', 'cair', 'bunga', 'ups']"
heran sama pemda dimana mana kalo org bnyak uang duit pengenya ngabisin duit lah ini malah di pendam bangun tugu kekjembatan kek yg penting abisin tu duit,heran sama pemda dimana mana kalau orang bnyak uang uang pengenya ngabisin uang lah ini malah di pendam bangun tugu kekjembatan seperti yang penting abisin itu uang,"['heran', 'sama', 'pemda', 'dimana', 'mana', 'kalau', 'orang', 'bnyak', 'uang', 'uang', 'pengenya', 'ngabisin', 'uang', 'lah', 'ini', 'malah', 'di', 'pendam', 'bangun', 'tugu', 'kekjembatan', 'seperti', 'yang', 'penting', 'abisin', 'itu', 'uang']","['heran', 'sama', 'pemda', 'mana', 'kalau', 'orang', 'bnyak', 'uang', 'uang', 'pengenya', 'ngabisin', 'uang', 'lah', 'malah', 'pendam', 'bangun', 'tugu', 'kekjembatan', 'penting', 'abisin', 'uang']","['heran', 'sama', 'pemda', 'mana', 'kalau', 'orang', 'bnyak', 'uang', 'uang', 'kenya', 'ngabisin', 'uang', 'lah', 'malah', 'pendam', 'bangun', 'tugu', 'kekjembatan', 'penting', 'abisin', 'uang']"
semoga makin garang pak pur,semoga makin garang bapak pur,"['semoga', 'makin', 'garang', 'bapak', 'pur']","['semoga', 'makin', 'garang', 'bapak', 'pur']","['moga', 'makin', 'garang', 'bapak', 'pur']"
kalau bener gp pakga perlu minta maf,kalau benar gp pakga perlu minta maf,"['kalau', 'benar', 'gp', 'pakga', 'perlu', 'minta', 'maf']","['kalau', 'benar', 'gp', 'pakga', 'perlu', 'minta', 'maf']","['kalau', 'benar', 'gp', 'pakga', 'perlu', 'minta', 'maf']"
mna pak duitnyasgera di tf atuh ke daerah spya gaji kmi buln okt sgera bs dbyarkn klo pmerintah pusat tgu akhir bulan bru tf kedaerah trus daerah bru bs tf kn gji diawal buln,mana bapak duitnyasgera di tf aduh ke daerah spya gaji kami buln okt sgera bisa dbyarkn kalau pmerintah pusat tgu akhir bulan baru tf kedaerah terus daerah baru bisa tf kn gji diawal buln,"['mana', 'bapak', 'duitnyasgera', 'di', 'tf', 'aduh', 'ke', 'daerah', 'spya', 'gaji', 'kami', 'buln', 'okt', 'sgera', 'bisa', 'dbyarkn', 'kalau', 'pmerintah', 'pusat', 'tgu', 'akhir', 'bulan', 'baru', 'tf', 'kedaerah', 'terus', 'daerah', 'baru', 'bisa', 'tf', 'kn', 'gji', 'diawal', 'buln']","['mana', 'bapak', 'duitnyasgera', 'tf', 'aduh', 'daerah', 'spya', 'gaji', 'buln', 'okt', 'sgera', 'dbyarkn', 'kalau', 'pmerintah', 'pusat', 'tgu', 'akhir', 'bulan', 'baru', 'tf', 'kedaerah', 'terus', 'daerah', 'baru', 'tf', 'kn', 'gji', 'diawal', 'buln']","['mana', 'bapak', 'duitnyasgera', 'tf', 'aduh', 'daerah', 'spya', 'gaji', 'buln', 'okt', 'sgera', 'dbyarkn', 'kalau', 'pmerintah', 'pusat', 'tgu', 'akhir', 'bulan', 'baru', 'tf', 'daerah', 'terus', 'daerah', 'baru', 'tf', 'kn', 'gji', 'awal', 'buln']"
benar pak menteri daerah yg tdk maksimal dalam pengelolan angaran maksimal progres di akhir tahun angaran harus diberikan sanksi sementara daerah yg bagus pengelolan angaran harus juga di berikan award pak,benar bapak menteri daerah yang tidak maksimal dalam pengelolan angaran maksimal progres di akhir tahun angaran harus diberikan sanksi sementara daerah yang bagus pengelolan angaran harus juga di berikan penghargaan bapak,"['benar', 'bapak', 'menteri', 'daerah', 'yang', 'tidak', 'maksimal', 'dalam', 'pengelolan', 'angaran', 'maksimal', 'progres', 'di', 'akhir', 'tahun', 'angaran', 'harus', 'diberikan', 'sanksi', 'sementara', 'daerah', 'yang', 'bagus', 'pengelolan', 'angaran', 'harus', 'juga', 'di', 'berikan', 'penghargaan', 'bapak']","['benar', 'bapak', 'menteri', 'daerah', 'tidak', 'maksimal', 'pengelolan', 'angaran', 'maksimal', 'progres', 'akhir', 'tahun', 'angaran', 'diberikan', 'sanksi', 'daerah', 'bagus', 'pengelolan', 'angaran', 'berikan', 'penghargaan', 'bapak']","['benar', 'bapak', 'menteri', 'daerah', 'tidak', 'maksimal', 'pengelolan', 'angaran', 'maksimal', 'progres', 'akhir', 'tahun', 'angaran', 'beri', 'sanksi', 'daerah', 'bagus', 'pengelolan', 'angaran', 'ikan', 'harga', 'bapak']"
pak purbaya baik hati mengingatkan seluruh kepala daerah supaya disiplin pemakaian uangnya segera dibelanjakan sesuai angaran yg diajukan pak purbaya ,bapak purbaya baik hati mengingatkan seluruh kepala daerah supaya disiplin pemakaian uangnya segera dibelanjakan sesuai angaran yang diajukan bapak purbaya,"['bapak', 'purbaya', 'baik', 'hati', 'mengingatkan', 'seluruh', 'kepala', 'daerah', 'supaya', 'disiplin', 'pemakaian', 'uangnya', 'segera', 'dibelanjakan', 'sesuai', 'angaran', 'yang', 'diajukan', 'bapak', 'purbaya']","['bapak', 'purbaya', 'baik', 'hati', 'mengingatkan', 'seluruh', 'kepala', 'daerah', 'disiplin', 'pemakaian', 'uangnya', 'segera', 'dibelanjakan', 'sesuai', 'angaran', 'diajukan', 'bapak', 'purbaya']","['bapak', 'purbaya', 'baik', 'hati', 'ingat', 'seluruh', 'kepala', 'daerah', 'disiplin', 'pakai', 'uang', 'segera', 'belanja', 'sesuai', 'angaran', 'aju', 'bapak', 'purbaya']"
biasanya akhir tahun baru pada sibuk itu pak,biasanya akhir tahun baru pada sibuk itu bapak,"['biasanya', 'akhir', 'tahun', 'baru', 'pada', 'sibuk', 'itu', 'bapak']","['biasanya', 'akhir', 'tahun', 'baru', 'sibuk', 'bapak']","['biasa', 'akhir', 'tahun', 'baru', 'sibuk', 'bapak']"
indah banget ditelinga habisin tuh duit wkwkwkw,indah sekali ditelinga habisin itu uang wkwkwkw,"['indah', 'sekali', 'ditelinga', 'habisin', 'itu', 'uang', 'wkwkwkw']","['indah', 'sekali', 'ditelinga', 'habisin', 'uang', 'wkwkwkw']","['indah', 'sekali', 'telinga', 'habisin', 'uang', 'wkwkwkw']"
koboy senior ,koboy senior,"['koboy', 'senior']","['koboy', 'senior']","['koboy', 'senior']"
tujuan pak pur efisiensi agar ekonomi di daerah berputar sementara salah satu dampak efisiensi di daerah tp pegawai terancam dipotongdihapus pada kenyatanya tp adalah penyelamat para pegawai di akhir bulan maf ya pak kalo menurut saya itu malah membuat ekonomi daerah malah gak mutar daya beli pegawai makin lemah maf ya pak kalau memang tahun depan tetap di efisiensi tolong terjun langsung ke daerah pak lihat bagaimana pelaksanan dan dampaknya terimakasih,tujuan bapak pur efisiensi agar ekonomi di daerah berputar sementara salah satu dampak efisiensi di daerah tapi pegawai terancam dipotongdihapus pada kenyatanya tapi adalah penyelamat para pegawai di akhir bulan maf ya bapak kalau menurut aku itu malah membuat ekonomi daerah malah tidak mutar daya beli pegawai makin lemah maf ya bapak kalau memang tahun depan tetap di efisiensi tolong terjun langsung ke daerah bapak lihat bagaimana pelaksanan dan dampaknya terimakasih,"['tujuan', 'bapak', 'pur', 'efisiensi', 'agar', 'ekonomi', 'di', 'daerah', 'berputar', 'sementara', 'salah', 'satu', 'dampak', 'efisiensi', 'di', 'daerah', 'tapi', 'pegawai', 'terancam', 'dipotongdihapus', 'pada', 'kenyatanya', 'tapi', 'adalah', 'penyelamat', 'para', 'pegawai', 'di', 'akhir', 'bulan', 'maf', 'ya', 'bapak', 'kalau', 'menurut', 'aku', 'itu', 'malah', 'membuat', 'ekonomi', 'daerah', 'malah', 'tidak', 'mutar', 'daya', 'beli', 'pegawai', 'makin', 'lemah', 'maf', 'ya', 'bapak', 'kalau', 'memang', 'tahun', 'depan', 'tetap', 'di', 'efisiensi', 'tolong', 'terjun', 'langsung', 'ke', 'daerah', 'bapak', 'lihat', 'bagaimana', 'pelaksanan', 'dan', 'dampaknya', 'terimakasih']","['tujuan', 'bapak', 'pur', 'efisiensi', 'ekonomi', 'daerah', 'berputar', 'salah', 'satu', 'dampak', 'efisiensi', 'daerah', 'pegawai', 'terancam', 'dipotongdihapus', 'kenyatanya', 'penyelamat', 'pegawai', 'akhir', 'bulan', 'maf', 'bapak', 'kalau', 'aku', 'malah', 'membuat', 'ekonomi', 'daerah', 'malah', 'tidak', 'mutar', 'daya', 'beli', 'pegawai', 'makin', 'lemah', 'maf', 'bapak', 'kalau', 'memang', 'tahun', 'depan', 'tetap', 'efisiensi', 'terjun', 'langsung', 'daerah', 'bapak', 'lihat', 'bagaimana', 'pelaksanan', 'dampaknya', 'terimakasih']","['tuju', 'bapak', 'pur', 'efisiensi', 'ekonomi', 'daerah', 'putar', 'salah', 'satu', 'dampak', 'efisiensi', 'daerah', 'pegawai', 'ancam', 'dipotongdihapus', 'nyata', 'selamat', 'pegawai', 'akhir', 'bulan', 'maf', 'bapak', 'kalau', 'aku', 'malah', 'buat', 'ekonomi', 'daerah', 'malah', 'tidak', 'mutar', 'daya', 'beli', 'pegawai', 'makin', 'lemah', 'maf', 'bapak', 'kalau', 'memang', 'tahun', 'depan', 'tetap', 'efisiensi', 'terjun', 'langsung', 'daerah', 'bapak', 'lihat', 'bagaimana', 'pelaksanan', 'dampak', 'terimakasih']"
kebanyakan ngonten si onoh trus dikasih tau ngotot sok paling bener ,kebanyakan ngonten si onoh terus dikasih tau ngotot sok paling benar,"['kebanyakan', 'ngonten', 'si', 'onoh', 'terus', 'dikasih', 'tau', 'ngotot', 'sok', 'paling', 'benar']","['kebanyakan', 'ngonten', 'si', 'onoh', 'terus', 'dikasih', 'tau', 'ngotot', 'sok', 'paling', 'benar']","['banyak', 'ngonten', 'si', 'onoh', 'terus', 'kasih', 'tau', 'ngotot', 'sok', 'paling', 'benar']"
wkwkwk that kerja yang bener lah ,wkwkwk itu kerja yang benar lah,"['wkwkwk', 'itu', 'kerja', 'yang', 'benar', 'lah']","['wkwkwk', 'kerja', 'benar', 'lah']","['wkwkwk', 'kerja', 'benar', 'lah']"
disuruh habisin duit gak ada yg mau ,disuruh habisin uang tidak ada yang mau,"['disuruh', 'habisin', 'uang', 'tidak', 'ada', 'yang', 'mau']","['disuruh', 'habisin', 'uang', 'tidak', 'mau']","['suruh', 'habisin', 'uang', 'tidak', 'mau']"
klw gak ada menkeu baru rakyat trus dikadalin pemimpin dearahnya baru skrg denger transparansi dl,klw tidak ada menkeu baru rakyat terus dikadalin pemimpin dearahnya baru sekarang dengar transparansi dl,"['klw', 'tidak', 'ada', 'menkeu', 'baru', 'rakyat', 'terus', 'dikadalin', 'pemimpin', 'dearahnya', 'baru', 'sekarang', 'dengar', 'transparansi', 'dl']","['klw', 'tidak', 'menkeu', 'baru', 'rakyat', 'terus', 'dikadalin', 'pemimpin', 'dearahnya', 'baru', 'sekarang', 'dengar', 'transparansi', 'dl']","['klw', 'tidak', 'menkeu', 'baru', 'rakyat', 'terus', 'dikadalin', 'pimpin', 'dearahnya', 'baru', 'sekarang', 'dengar', 'transparansi', 'dl']"
ngabisin duit aja susah apalagi menghasilkan duit,ngabisin uang saja susah apalagi menghasilkan uang,"['ngabisin', 'uang', 'saja', 'susah', 'apalagi', 'menghasilkan', 'uang']","['ngabisin', 'uang', 'susah', 'menghasilkan', 'uang']","['ngabisin', 'uang', 'susah', 'hasil', 'uang']"
setuju pak dikasih duit sama pemerintah tapi tidak kerja dgn benar,setuju bapak dikasih uang sama pemerintah tapi tidak kerja dengan benar,"['setuju', 'bapak', 'dikasih', 'uang', 'sama', 'pemerintah', 'tapi', 'tidak', 'kerja', 'dengan', 'benar']","['setuju', 'bapak', 'dikasih', 'uang', 'sama', 'pemerintah', 'tidak', 'kerja', 'benar']","['tuju', 'bapak', 'kasih', 'uang', 'sama', 'perintah', 'tidak', 'kerja', 'benar']"
mending kalau jadi kepala daerah cuma taruh duit di deposito gw jg bsa ,mending kalau jadi kepala daerah hanya taruh uang di deposito aku juga bsa,"['mending', 'kalau', 'jadi', 'kepala', 'daerah', 'hanya', 'taruh', 'uang', 'di', 'deposito', 'aku', 'juga', 'bsa']","['mending', 'kalau', 'jadi', 'kepala', 'daerah', 'taruh', 'uang', 'deposito', 'aku', 'bsa']","['mending', 'kalau', 'jadi', 'kepala', 'daerah', 'taruh', 'uang', 'deposito', 'aku', 'bsa']"
kami mendukung mu pak,kami mendukung mu bapak,"['kami', 'mendukung', 'mu', 'bapak']","['mendukung', 'mu', 'bapak']","['dukung', 'mu', 'bapak']"
anjir dari dulu ini rupanya alasan kenapa ada gaji dirapel sempet mikir apa emang duitnya blm ada ternyata diparkir dulu,anjing dari dulu ini rupanya alasan kenapa ada gaji dirapel sempet mikir apa memang duitnya blm ada ternyata diparkir dulu,"['anjing', 'dari', 'dulu', 'ini', 'rupanya', 'alasan', 'kenapa', 'ada', 'gaji', 'dirapel', 'sempet', 'mikir', 'apa', 'memang', 'duitnya', 'blm', 'ada', 'ternyata', 'diparkir', 'dulu']","['anjing', 'dulu', 'rupanya', 'alasan', 'gaji', 'dirapel', 'sempet', 'mikir', 'apa', 'memang', 'duitnya', 'blm', 'ternyata', 'diparkir', 'dulu']","['anjing', 'dulu', 'rupa', 'alas', 'gaji', 'rapel', 'sempet', 'mikir', 'apa', 'memang', 'duit', 'blm', 'nyata', 'parkir', 'dulu']"
yang tersingung ya yang kerja gak bener kalau kerja bener gak merasa harusnya ,yang tersingung ya yang kerja tidak benar kalau kerja benar tidak merasa harusnya,"['yang', 'tersingung', 'ya', 'yang', 'kerja', 'tidak', 'benar', 'kalau', 'kerja', 'benar', 'tidak', 'merasa', 'harusnya']","['tersingung', 'kerja', 'tidak', 'benar', 'kalau', 'kerja', 'benar', 'tidak', 'merasa', 'harusnya']","['tersingung', 'kerja', 'tidak', 'benar', 'kalau', 'kerja', 'benar', 'tidak', 'rasa', 'harus']"
baru ini ada yang disuruh habisin duit jadi ribet,baru ini ada yang disuruh habisin uang jadi ribet,"['baru', 'ini', 'ada', 'yang', 'disuruh', 'habisin', 'uang', 'jadi', 'ribet']","['baru', 'disuruh', 'habisin', 'uang', 'jadi', 'ribet']","['baru', 'suruh', 'habisin', 'uang', 'jadi', 'ribet']"
kerjanya ngak bener tapi angaran naik terus tuman,kerjanya tidak benar tapi angaran naik terus tuman,"['kerjanya', 'tidak', 'benar', 'tapi', 'angaran', 'naik', 'terus', 'tuman']","['kerjanya', 'tidak', 'benar', 'angaran', 'naik', 'terus', 'tuman']","['kerja', 'tidak', 'benar', 'angaran', 'naik', 'terus', 'tuman']"
habisin tuh duit ,habisin itu uang,"['habisin', 'itu', 'uang']","['habisin', 'uang']","['habisin', 'uang']"
pemda jangan ambil keuntungan dari uang rakyat mana programnya tidak tepat sasaran uang rakyat habis hanya untuk program yg tidak tepat sasaran ,pemda jangan ambil keuntungan dari uang rakyat mana programnya tidak tepat sasaran uang rakyat habis hanya untuk program yang tidak tepat sasaran,"['pemda', 'jangan', 'ambil', 'keuntungan', 'dari', 'uang', 'rakyat', 'mana', 'programnya', 'tidak', 'tepat', 'sasaran', 'uang', 'rakyat', 'habis', 'hanya', 'untuk', 'program', 'yang', 'tidak', 'tepat', 'sasaran']","['pemda', 'jangan', 'ambil', 'keuntungan', 'uang', 'rakyat', 'mana', 'programnya', 'tidak', 'tepat', 'sasaran', 'uang', 'rakyat', 'habis', 'program', 'tidak', 'tepat', 'sasaran']","['pemda', 'jangan', 'ambil', 'untung', 'uang', 'rakyat', 'mana', 'program', 'tidak', 'tepat', 'sasar', 'uang', 'rakyat', 'habis', 'program', 'tidak', 'tepat', 'sasar']"
rumus pak purbaya: atack minta maf atack lagi ,rumus bapak purbaya: atack minta maf atack lagi,"['rumus', 'bapak', 'purbaya:', 'atack', 'minta', 'maf', 'atack', 'lagi']","['rumus', 'bapak', 'purbaya:', 'atack', 'minta', 'maf', 'atack']","['rumus', 'bapak', 'purbaya', 'atack', 'minta', 'maf', 'atack']"
